minority;size; author;topology;N;k
0.09520814804825259; 0.5297461733546402;;ER;400;10
0.09714441029841417; 0.3551439912002614;;ER;400;10
0.09659164036932016; 0.4396606249174837;;ER;400;10
0.0968489245624351; 0.404798200432946;;ER;400;10
0.09749609006113599; 0.3049069879798775;;ER;400;10
0.09787806133489482; 0.26534850249479547;;ER;400;10
0.09813534552800976; 0.2304860780102579;;ER;400;10
0.09839262972112467; 0.1956236535257203;;ER;400;10
0.0986499139142396; 0.16076122904118262;;ER;400;10
0.09890719810735454; 0.12589880455664493;;ER;400;10
0.09916448230046948; 0.09103638007210735;;ER;400;10
0.10159364880466698; -0.008612556966184792;;ER;400;10
0.10424631946408536; -0.003829401187524617;;ER;400;10
0.10695722740530869; -0.0034335211257443543;;ER;400;10
0.10966803946735837; -0.0027289101247707226;;ER;400;10
0.11202771063647801; -0.005054448668514677;;ER;400;10
0.09975364858201047; -0.006079046489912088;;ER;400;10
0.009665365444146028; 0.9750575863708878;;BA;10000;10
0.019670539966126492; 0.9505885658821319;;BA;10000;10
0.02968897523625482; 0.9203991324349775;;BA;10000;10
0.039684432563413335; 0.8909844293936144;;BA;10000;10
0.04956828012570645; 0.8555707289303625;;BA;10000;10
0.05982992835186036; 0.811393516146409;;BA;10000;10
0.06247043260407905; 0.7965855572363092;;BA;10000;10
0.06522428720811768; 0.7825374290149809;;BA;10000;10
0.06797942873062451; 0.7646156762043217;;BA;10000;10
0.07059858495366897; 0.7456764071753599;;BA;10000;10
0.07260186974277472; 0.7340104501015408;;BA;10000;10
0.07461827231957588; 0.6828599520644922;;BA;10000;10
0.08026862477801378; 0.6357407796364023;;BA;10000;10
0.08251016098140318; 0.625021283868872;;BA;10000;10
0.08464669122329646; 0.5884253425380399;;BA;10000;10
0.08716315403556293; 0.5366488502840674;;BA;10000;10
0.08968864844834681; 0.4576872404727045;;BA;10000;10
0.09221514898075758; 0.37569721058439487;;BA;10000;10
0.09473698782556372; 0.3077388603859378;;BA;10000;10
0.0971743629276923; 0.2432571565582079;;BA;10000;10
0.09989356890597387; -0.0008442335863723116;;BA;10000;10
0.1026968948693939; 0.0033716591802142037;;BA;10000;10
0.1053356531991752; 0.0014176910214867;;BA;10000;10
0.10820968187176264; 0.0017844451016135743;;BA;10000;10
0.11025101709903787; 0.000966278682220878;;BA;10000;10
0.0772014251667108; 0.622971183706878;;BA;10000;10
0.009664327128691072; 0.9781829158902967;;BA;1000;10
0.018767284333021394; 0.9528298147316583;;BA;1000;10
0.02982206691280391; 0.9244273804611953;;BA;1000;10
0.039809082161302814; 0.8919279683797143;;BA;1000;10
0.04956939021102812; 0.8522293721121315;;BA;1000;10
0.059830658245916955; 0.8091965350360424;;BA;1000;10
0.06251029318865542; 0.7928662901481551;;BA;1000;10
0.06502903496817813; 0.771843989316237;;BA;1000;10
0.06770884657678486; 0.7584014240615302;;BA;1000;10
0.06903718790469443; 0.7437461666711664;;BA;1000;10
0.07105130860218181; 0.7370780082319734;;BA;1000;10
0.07213101581858528; 0.7045929594755891;;BA;1000;10
0.07478360326263822; 0.686732251624763;;BA;1000;10
0.07749720012399988; 0.6684803193166075;;BA;1000;10
0.07766145041073963; 0.6442604920217414;;BA;1000;10
0.08052700110013436; 0.6513390340802485;;BA;1000;10
0.08088805568026158; 0.6177534680708547;;BA;1000;10
0.082920421351063; 0.6021404634559511;;BA;1000;10
0.08561881406799629; 0.5962184433320615;;BA;1000;10
0.08715805636278667; 0.5519928453405967;;BA;1000;10
0.08976698693473589; 0.5227994593482154;;BA;1000;10
0.09235651549580015; 0.40155059466630927;;BA;1000;10
0.09483445985658406; 0.3904868756481574;;BA;1000;10
0.09708833732584751; 0.34262016959977215;;BA;1000;10
0.09997469736208833; 0.005718332597978604;;BA;1000;10
0.10276052086847895; 0.004106136569042018;;BA;1000;10
0.10571017661890433; 0.0025186835370301086;;BA;1000;10
0.10869511346322613; 0.0033974661486440016;;BA;1000;10
0.11045852675678536; 0.003260256584526555;;BA;1000;10
0.009817355083133073; 0.9822108554493834;;BA;400;10
0.021003326513478512; 0.9510485637755473;;BA;400;10
0.030266993313872552; 0.9195961862535716;;BA;400;10
0.039719260308952425; 0.8887362322209679;;BA;400;10
0.04969266532973112; 0.8573100934495399;;BA;400;10
0.059789658185130413; 0.807227108459017;;BA;400;10
0.06258461346191826; 0.7948455648070192;;BA;400;10
0.06506339393906024; 0.7774618094483581;;BA;400;10
0.06765409309569201; 0.7605026945417905;;BA;400;10
0.06998208473927192; 0.7375084891106153;;BA;400;10
0.07163489018160754; 0.7107360658741684;;BA;400;10
0.07431903042610483; 0.6957923013707862;;BA;400;10
0.07691017956992147; 0.6826673180789131;;BA;400;10
0.07873971665100438; 0.6609601033183897;;BA;400;10
0.0824244106850113; 0.6610906304552725;;BA;400;10
0.08500436926595581; 0.6402309200335601;;BA;400;10
0.08817800510395085; 0.598526000256046;;BA;400;10
0.09253802953768783; 0.5322432201245094;;BA;400;10
0.09502652989000007; 0.5019439275606402;;BA;400;10
0.09730049328813145; 0.4905028193586888;;BA;400;10
0.09730774324842026; 0.3433008293448728;;BA;400;10
0.10103071046127851; 0.0034023458288343633;;BA;400;10
0.10366938494775757; 0.001700746009852594;;BA;400;10
0.10635961803451674; 0.003621931437403747;;BA;400;10
0.10912613133843832; 0.0016229603861983577;;BA;400;10
0.11070865061132992; 0.002665111672228937;;BA;400;10
0.0897809287657382; 0.5586653506343437;;BA;400;10
